M = multiplicity (number of factorizations)
F = number of factors
N = number
P = product

M F N            P
- - ----------   -------------- 
1 4 1023495876 = 57*62*94*3081
1 2 1023496578 = 258*3967041
1 2 1023497658 = 6*170582943
1 2 1023574986 = 9762*104853
1 2 1023598746 = 10482*97653
1 2 1023657498 = 10743*95286
1 4 1023657984 = 4*8*912*35076
2 4 1023657984 = 4*38*96*70152
3 2 1023657984 = 2109*485376
4 2 1023657984 = 29184*35076
1 4 1023659784 = 6*7*84*290153
1 2 1023679584 = 15987*64032
1 3 1023768954 = 9*26*4375081
1 3 1023946875 = 7*3125*46809
1 2 1023964578 = 54*18962307
2 2 1023964578 = 702*1458639
1 3 1023968754 = 9*4358*26107
1 3 1023976485 = 7*243*601985
1 4 1023985746 = 9*73*258*6041
1 3 1024375968 = 36*49*580712
1 3 1024378695 = 5*2371*86409
1 4 1024389756 = 3*82*591*7046
1 5 1024739856 = 3*7*8*642*9501
2 4 1024739856 = 7*36*428*9501
1 4 1024765938 = 7*258*603*941
1 3 1024793856 = 64*2708*5913
1 3 1024956738 = 9*26*4380157
1 3 1025349678 = 54*219*86703
1 3 1025374896 = 3*48*7120659
1 3 1025487693 = 387*659*4021
1 2 1025674938 = 6*170945823
1 3 1025698374 = 2*6037*84951
1 4 1025794368 = 9*64*71*25083
1 3 1025836749 = 9*203*561487
1 3 1025847396 = 27*5908*6431
1 3 1025976384 = 8*1972*65034
2 3 1025976384 = 17*928*65034
1 4 1025984736 = 6*87*392*5014
2 3 1025984736 = 23*58*769104
1 4 1026345978 = 2*7*9*8145603
1 3 1026357948 = 2*693*740518
1 4 1026359478 = 9*41*327*8506
1 3 1026397548 = 4*27*9503681
1 4 1026459378 = 2*7*9*8146503
1 3 1026543798 = 9*203*561874
1 3 1026548397 = 21*69*708453
1 3 1026583794 = 2*853*601749
1 2 1026739548 = 2958*347106
1 4 1026739584 = 8*9*312*45706
1 4 1026753948 = 4*583*621*709
1 3 1026873954 = 47*358*61029
1 3 1026973584 = 468*719*3052
1 3 1026975348 = 54*3129*6078
1 3 1027348596 = 6*54*3170829
1 2 1027365948 = 57*18023964
1 4 1027458369 = 7*69*521*4083
1 3 1027459836 = 26*54*731809
2 3 1027459836 = 41*702*35698
1 4 1027468935 = 3*9*827*46015
1 3 1027469835 = 7*45*3261809
1 4 1027534968 = 8*97*501*2643
1 2 1027546398 = 54*19028637
1 2 1027639548 = 684*1502397
1 3 1027639584 = 18*94*607352
1 3 1027653984 = 63*1702*9584
1 3 1027839456 = 3*672*509841
1 3 1027845936 = 9*156*732084
2 2 1027845936 = 1872*549063
1 4 1027849536 = 7*38*96*40251
1 3 1027856934 = 2*8431*60957
1 4 1027935684 = 2*81*94*67503
1 3 1027938456 = 9*76*1502834
1 3 1027964358 = 9*486*235017
1 3 1028354976 = 8*4257*30196
1 3 1028357694 = 3*5298*64701
1 4 1028374956 = 6*59*723*4018
1 4 1028375496 = 6*29*804*7351
1 2 1028496735 = 21*48976035
1 5 1028497365 = 3*7*9*85*64021
1 4 1028547396 = 34*81*529*706
1 4 1028574396 = 6*9*37*514802
1 2 1028576394 = 9837*104562
1 4 1028739564 = 3*51*74*90862
2 3 1028739564 = 74*153*90862
1 2 1028743596 = 6702*153498
1 4 1028764935 = 3*5*9*7620481
1 4 1028945736 = 7*9*52*314086
1 3 1029347586 = 9*5678*20143
1 4 1029356748 = 7*36*81*50429
1 4 1029453768 = 3*51*742*9068
2 3 1029453768 = 153*742*9068
1 4 1029537648 = 6*9*38*501724
1 4 1029547638 = 3*9*82*465017
1 4 1029735648 = 3*6*8*7150942
1 4 1029748356 = 2*87*91*65034
1 3 1029754368 = 86*2304*5197
1 3 1029783456 = 3*4509*76128
2 4 1029783456 = 6*78*501*4392
3 3 1029783456 = 54*2379*8016
4 3 1029783456 = 501*864*2379
1 4 1029784536 = 9*31*726*5084
1 3 1029853764 = 3*6*57214098
1 3 1029876354 = 2*97*5308641
1 2 1032469578 = 567*1820934
1 4 1032548976 = 6*8*501*42937
1 2 1032549678 = 354*2916807
1 3 1032549867 = 549*701*2683
1 4 1032549876 = 54*71*89*3026
1 2 1032567498 = 6*172094583
1 4 1032567984 = 8*42*61*50379
1 3 1032569748 = 4*27*9560831
1 3 1032594876 = 2*873*591406
2 2 1032594876 = 12*86049573
1 3 1032684795 = 291*873*4065
1 3 1032769584 = 308*612*5479
1 3 1032785964 = 6*57*3019842
2 2 1032785964 = 3591*287604
1 2 1032786495 = 39*26481705
1 2 1032794568 = 78*13240956
1 4 1032849576 = 9*274*501*836
1 2 1032854976 = 108*9563472
1 2 1032859674 = 1386*745209
1 3 1032967548 = 2*601*859374
1 3 1034285976 = 4*302*856197
1 3 1034298576 = 4*9*28730516
1 3 1034679258 = 6*201*857943
2 2 1034679258 = 1206*857943
1 4 1034728695 = 5*403*627*819
2 3 1034728695 = 13*8645*9207
1 4 1034756982 = 6*71*483*5029
1 2 1034765928 = 216*4790583
1 3 1034798652 = 402*657*3918
1 3 1034852679 = 3*4029*85617
1 3 1034867295 = 5*679*304821
1 2 1034928576 = 18*57496032
1 3 1034928657 = 49*81*260753
1 2 1034958672 = 132*7840596
1 3 1034962758 = 6*243*709851
1 3 1034965728 = 4*27*9583016
1 4 1035284796 = 3*71*546*8902
1 2 1035287694 = 1806*573249
1 2 1035469728 = 408*2537916
1 3 1035492768 = 4*302*857196
1 4 1035492876 = 31*54*682*907
1 3 1035498672 = 9*5648*20371
1 3 1035647928 = 36*49*587102
1 2 1035649872 = 48*21576039
1 4 1035687492 = 6*9*38*504721
2 3 1035687492 = 57*84*216309
1 2 1035724968 = 72*14385069
1 3 1035729864 = 8*5617*23049
1 2 1035796248 = 72*14386059
2 3 1035796248 = 456*783*2901
1 3 1035798426 = 2*871*594603
1 3 1035826479 = 9*1427*80653
1 3 1035869472 = 48*3102*6957
2 3 1035869472 = 517*648*3092
1 3 1035872964 = 2*853*607194
1 2 1036248759 = 39*26570481
1 2 1036275948 = 138*7509246
1 3 1036472598 = 6*207*834519
1 4 1036478592 = 32*81*564*709
1 3 1036547928 = 87*234*50916
1 3 1036742895 = 9*87*1324065
1 3 1036784529 = 9*5463*21087
1 2 1036842975 = 3975*260841
1 2 1036847592 = 132*7854906
1 3 1036847952 = 9*567*203184
1 3 1036849275 = 3*75*4608219
1 2 1036852974 = 18*57602943
1 3 1036875294 = 2*9*57604183
1 2 1036894572 = 13902*74586
1 5 1036927584 = 4*7*9*506*8132
2 3 1036927584 = 152*963*7084
1 2 1036952847 = 26901*38547
1 2 1036982754 = 6*172830459
1 2 1036985724 = 6*172830954
1 3 1037245986 = 9*18*6402753
1 3 1037289645 = 81*469*27305
1 4 1037459826 = 6*81*403*5297
1 4 1037524896 = 4*8*9*3602517
1 3 1037548629 = 3*507*682149
1 3 1037564928 = 4*32*8105976
1 2 1037569248 = 3576*290148
1 3 1037582946 = 3*69*5012478
1 4 1037584296 = 3*7*548*90162
2 4 1037584296 = 3*9*548*70126
1 2 1037592468 = 132*7860549
1 2 1037625948 = 57*18203964
1 3 1037628594 = 2*97*5348601
1 3 1037629845 = 9*4305*26781
1 2 1037645928 = 132*7860954
1 4 1037684592 = 4*7*628*59013
2 2 1037684592 = 1896*547302
1 2 1037849562 = 138*7520649
1 3 1037942685 = 185*607*9243
1 3 1037945628 = 9*547*210836
1 2 1037954268 = 2964*350187
1 2 1037982456 = 25368*40917
1 2 1037982645 = 28749*36105
1 4 1038254976 = 9*31*704*5286
