1,1,8200,8200,8+(2+0+0)
2,1,8201,4100,8+(2+0)+1
3,1,8202,2734,8+(2+0)+2
4,1,8203,2050,8+(2+0)+3
5,1,8204,1640,8+(2+0)+4
6,1,8205,1367,8+(2+0)+5
7,1,8206,1172,8+(2+0)+6
8,1,8207,1025,8+(2+0)+7
9,1,8208,912,8+(2+0)+8
10,1,8209,820,8+(2+0)+9
1,30,67117084,67117084,6+7+(1+1)+7+0+8+(4),67117084
2,34,67125274,33562637,6+7+1+(2)+5+(2)+7+(4),67125274
3,248,134217750,44739250,(1+3)+(4)+2+1+7+7+5+0,134217750
4,248,134217751,33554437,(1+3)+(4)+2+1+7+7+5+1,134217751
5,248,134217752,26843550,(1+3)+(4)+2+1+7+7+5+2,134217752
6,248,134217753,22369625,(1+3)+(4)+2+1+7+7+5+3,134217753
7,248,134217754,19173964,1+3+(4)+2+1+7+7+5+(4),134217754
8,248,134217755,16777219,(1+3)+(4)+2+1+7+7+5+5,134217755
9,248,134217756,14913084,(1+3)+(4)+2+1+7+7+5+6,134217756
10,248,134217757,13421775,(1+3)+(4)+2+1+7+7+5+7,134217757
11,248,134217758,12201614,(1+3)+(4)+2+1+7+7+5+8,134217758
12,248,134217759,11184813,(1+3)+(4)+2+1+7+7+5+9,134217759
13,309,134225940,10325072,1+3+(4)+(2)+2+5+9+(4+0),134225940
14,309,134225941,9587567,1+3+(4)+(2)+2+5+9+(4)+1,134225941
15,309,134225942,8948396,1+3+4+(2+2)+5+9+(4)+(2),134225942
16,309,134225943,8389121,1+3+(4)+(2)+2+5+9+(4)+3,134225943
17,309,134225944,7895643,1+3+(4)+(2)+2+5+9+(4)+4,134225944
18,309,134225945,7456996,1+3+(4)+(2)+2+5+9+(4)+5,134225945
19,309,134225946,7064523,1+3+(4)+(2)+2+5+9+(4)+6,134225946
20,310,134225947,6711297,1+3+(4)+(2)+2+5+9+(4)+7,134225947
21,310,134225948,6391711,1+3+(4)+(2)+2+5+9+(4)+8,134225948
22,310,134225949,6101179,1+3+(4)+(2)+2+5+9+(4)+9,134225949
23,351,134234120,5836266,1+3+(4)+(2)+3+(4)+1+(2+0),134234120
24,351,134234121,5593088,1+3+(4)+(2)+3+(4)+1+(2)+1,134234121
25,351,134234122,5369364,1+3+(4)+(2)+3+(4)+1+(2)+2,134234122
26,351,134234123,5162850,1+3+(4)+(2)+3+(4)+1+(2)+3,134234123
27,352,134234124,4971634,1+3+(4)+(2)+3+(4)+1+(2)+4,134234124
28,352,134234125,4794075,1+3+(4)+(2)+3+(4)+1+(2)+5,134234125
29,352,134234126,4628762,1+3+(4)+(2)+3+(4)+1+(2)+6,134234126
30,352,134234127,4474470,1+3+(4)+(2)+3+(4)+1+(2)+7,134234127
31,352,134234128,4330133,1+3+(4)+(2)+3+(4)+1+(2)+8,134234128
32,352,134234129,4194816,1+3+(4)+(2)+3+(4)+1+(2)+9,134234129
33,385,134242311,4067948,1+3+(4)+(2)+(4)+(2)+3+(1+1),134242311
34,385,134242312,3948303,1+3+4+(2)+(4)+(2)+(3+1)+(2),134242312
35,636,201342994,5752656,(2)+(0+1+3)+(4)+(2)+9+9+(4),201342994
942
