1,78,263182,263182,(2)+6+(3+1)+8+(2),263182
2,94,282354,141177,2+8+(2)+(3)+5+(4),282354
3,143,524813,174937,5+(2)+(4)+8+(1+3),524813
4,143,524814,131203,5+(2)+(4)+8+1+(4),524814
5,147,543994,108798,5+(4)+(3)+9+9+(4),543994
6,524,1953662,325610,1+9+(5)+3+6+6+(2),1953662
7,531,1972835,281833,1+9+7+2+8+(3)+(5),1972835
8,599,2215280,276910,(2+2)+1+(5)+2+8+0,2215280
9,599,2215281,246142,(2+2)+1+(5)+2+8+1,2215281
10,599,2215282,221528,(2+2)+1+(5)+2+8+2,2215282
11,599,2215283,201389,(2+2)+1+(5)+2+8+3,2215283
12,599,2215284,184607,2+2+1+(5)+2+8+(4),2215284
13,599,2215285,170406,(2+2)+1+(5)+2+8+5,2215285
14,599,2215286,158234,(2+2)+1+(5)+2+8+6,2215286
15,599,2215287,147685,(2+2)+1+(5)+2+8+7,2215287
16,599,2215288,138455,(2+2)+1+(5)+2+8+8,2215288
17,599,2215289,130311,(2+2)+1+(5)+2+8+9,2215289
18,610,2235994,124221,(2)+(2)+(3)+(5)+9+9+(4),2235994
19,712,2478452,130444,(2)+(4)+7+8+(4)+(5)+(2),2478452
20,1229,3945635,197281,(3)+9+4+(5)+6+(3)+(5),3945635
21,1395,4430541,210978,(4)+(4)+3+0+(5)+(4+1),4430541
22,1395,4430545,201388,4+(4)+3+0+(5)+(4)+(5),4430545
3367
