PUZZLE SALES

Total $29,901

Precise Pointer (Scientific American MIND) $75
Robot Puzzles 2 (Scientific American MIND) $75
Closest Quad (Scientific American MIND) $75
Pentomino Maze 2 (Scientific American MIND) $75
Cover Up 3 (Scientific American MIND) $75
Good Neighbors (Scientific American MIND) $75
Word Snakes (?, MENSA Bulletin) $0
Number Wheel (?, MENSA Bulletin) $0

In Short Order (Games World of Puzzles, Oct 2022) $75
Crossing Flashlights (Games World of Puzzles, Oct 2022) $100
Emoji TV Shows (Games World of Puzzles, Oct 2022) $100
Vegetable Gardens (Games World of Puzzles, Sep 2022) $100
Chess Avoid (MENSA Bulletin, Sep 2022) $0
Flashlights (Games World of Puzzles, Apr 2022) $100
Full Hex (April 2022, MENSA Bulletin) $0
Synonym Crossing (Feb 2022, Games World of Puzzles) $100
Dirty Dozen Balancing Act (Feb 2022, Games World of Puzzles) $200
Emoji Proverbs (Jan 2022, Games World of Puzzles) $100
Weird Calculator (Jan 2022, Games World of Puzzles) $50
Triple Play (Nov 2021, MENSA Bulletin) $0
Blackjack Balancing Act (Sept 2021, Games World of Puzzles) $200
Four Letter Words (Sept 2021, Games World of Puzzles) $75
ABC's (June 2021, MENSA Bulletin) $0
Emoji Musical Groups (June 2021, Games World of Puzzles) $100
Blockheads (April 2021, Games World of Puzzles) $100
Sneaky Snakes (November 2020, MENSA Bulletin) $0
Boomerangs (October 2020, Games World of Puzzles) $100
In Short Order (September 2020, Games World of Puzzles) $75
Balancing Act 2020 (April 2020, Games World of Puzzles) $100
Different Rectangles (Feb 2020, Games World of Puzzles) $100
In Short Order (Feb 2020, Games World of Puzzles) $75
Vegetable Garden (Jan 2020, Games World of Puzzles) $100
Nickel and Dime (Jan 2020, Games World of Puzzles) $75
Word Mazes (Dec 2019, Games World of Puzzles) $100
Catch-22 (Dec 2019, Games World of Puzzles) $100
Stackoku (Oct 2019, Games World of Puzzles) $100
ABC Hive (Oct 2019, Games World of Puzzles) $100
Color Mazes (Sept 2019, June 2020, MENSA Bulletin) $0
Emoji Films (Sept 2019, Games World of Puzzles) $100
Bar Charts (June 2019, Games World of Puzzles) $100
Double A (June 2019, Games World of Puzzles) $75
Crazy Pavement (May 2019, Games World of Puzzles) $100
Emoji Books (April 2019, Games World of Puzzles) $100
T for Two (April 2019, Games World of Puzzles) $75
Half and Half (February 2019, Games World of Puzzles) $100
Number Bushes (February 2019, MENSA Bulletin) $0
Road Blocks (January 2019, Games World of Puzzles) $75 (lost)
Word Hexes (September 2018, Games World of Puzzles) $75
Jump Rope (June 2018, Games World of Puzzles) $100
Map Properties (May 2018, Games World of Puzzles) $75
About Face (April 2018, Games World of Puzzles) $150
Team Pairs (February 2018, Games World of Puzzles) $75
Four by Four (January 2018, Games World of Puzzles) $75
Puzzle Box Volume #3 (December 2017) $87
Stacked Stars (December 2017, Games World of Puzzles) $75
Block Sums (December 2017, Games World of Puzzles) $100
Puzzle Box Volume #2 (June 2016) $87
Word Chains (October 2017, Games World of Puzzles) $75
Pentomino Mazes (September 2017, MENSA Bulletin) $0
Stackoku (September 2017, Games World of Puzzles) $100
Broken Words (August 2017, Brainzilla) $10
Word Overlap (August 2017, Games World of Puzzles) $75
Number Stacks (May 2017, Games World of Puzzles) $100
Word Hexes (April 2017, Games World of Puzzles) $75
Single Sight (February 2017, Games World of Puzzles) $100
A Perfect Fit (February 2017, Games World of Puzzles) $100
Approxduko (January 2017, Games World of Puzzles) $100
Puzzle Box Volume #1 (December 2016) $107
Code Squares (August 2016, Games World of Puzzles) $100
Word Hexes (April 2016, Games World of Puzzles) $75
Everything In Order (February 2016, Games World of Puzzles) $100
Train Puzzle (February 2016, Dark Effects Escape Room) $100
